"#","Name","Color","Parent","Start","Stop","Icon","Description","[Namechange","When","Description","[Namechange","When","Description",". . . ]]",,
"N","Unity Linux","#77EE00","Mandrake","2009.12.10","2015.03.03",,"https://distroware.gitlab.io/os/Linux/u/unity-linux",,,,,,,,,
"#N","ChameleonOS","#489F3E","Unity Linux","2010.07.12",,,"http://chameleonos.wordpress.com/",,,,,,,,,
"N","Mageia","#3f48c9","Mandrake","2010.9.18",,,"https://distroware.gitlab.io/os/Linux/m/mageia",,,,,,,,,
"N","ROSA","#105289","Mandrake","2011.3.25",,,"https://distroware.gitlab.io/os/Linux/r/rosa",,,,,,,,,
"N","OpenMandriva Lx","#0484c1","ROSA","2013.6.18",,,"https://distroware.gitlab.io/os/Linux/o/openmandriva",,,,,,,,,
"N","Eurielec","#040404","Red Hat","1998","2001.5.13",,"https://distroware.gitlab.io/os/Linux/e/eurielec",,,,,,,,,
"N","Fermi","#00309e","Red Hat","1998.8.31",,,"https://distroware.gitlab.io/os/Linux/f/fermi",,,,,,,,,
"N","KRUD","#00adfb","Red Hat","1999","2005",,"https://distroware.gitlab.io/os/Linux/k/krud",,,,,,,,,
"N","e-smith","#d38b8e","Red Hat","1999.1",,,"https://distroware.gitlab.io/os/Linux/sme-server","SME Server","2001.8","https://distroware.gitlab.io/os/Linux/s/sme-server",,,,,,
"N","Eridani","#2625a4","Red Hat","1999.3","2003.8.5",,"https://distroware.gitlab.io/os/Linux/e/eridani",,,,,,,,,
"N","Yellow Dog","#baba4c","Red Hat","1999.3.8","2012.8.6",,"https://distroware.gitlab.io/os/Linux/y/yellow-dog",,,,,,,,,
"N","Vine","#323296","Red Hat","1999.3.28",,,"https://distroware.gitlab.io/os/Linux/v/vine",,,,,,,,,
"N","Red Flag","#e34043","Red Hat","1999.8",,,"https://distroware.gitlab.io/os/Linux/r/red-flag",,,,,,,,,
"#N","Armed","#d73ce2","Red Hat","1999.9.5","2002",,"http://lwn.net/1999/0916/a/armed.html",,,,,,,,,
"N","Immunix","#bbd295","Red Hat","1999.10","2003.11.27",,"https://distroware.gitlab.io/os/Linux/i/immunix",,,,,,,,,
"N","Kondara","#5d0202","Red Hat","1999.11.11","2002.7.15",,"https://distroware.gitlab.io/os/Linux/k/kondara",,,,,,,,,
"N","Linpus","#afafaf","Red Hat","2000.1.28",,,"https://distroware.gitlab.io/os/Linux/l/linpus",,,,,,,,,
"N","ELX","#44b6fd","Red Hat","2000.2","2006",,"https://distroware.gitlab.io/os/Linux/e/elx",,,,,,,,,
"N","Trustix","#c4c4c4","Red Hat","2000.3","2007.3.6",,"https://distroware.gitlab.io/os/Linux/t/trustix",,,,,,,,,
"N","Finnix","#000","Red Hat","2000.3.22","2005.10.23",,"https://distroware.gitlab.io/os/Linux/f/finnix",,,,,,,,,
"N","BU Linux","#e30000","Red Hat","2000.5",,,"https://distroware.gitlab.io/os/Linux/b/bu-linux",,,,,,,,,
"N","Miracle","#e34043","Red Hat","2000.8",,,"https://distroware.gitlab.io/os/Linux/m/miracle",,,,,,,,,
"N","Asianux","#000","Miracle","2004.6",,,"https://distroware.gitlab.io/os/Linux/a/asianux",,,,,,,,,
"#N","Happy Linux","#7ecce0","Red Hat","2000.9","2002.5",,"http://distrowatch.com/table.php?distribution=happy",,,,,,,,,
"N","Pingo","#203e7f","Red Hat","2000.10.1","2007.1.1",,"https://distroware.gitlab.io/os/Linux/p/pingo",,,,,,,,,
"N","Best","#000","Red Hat","2000.10.24","2004.12.24",,"https://distroware.gitlab.io/os/Linux/s/sot","SOT","2002.4.24","https://distroware.gitlab.io/os/Linux/s/sot","LBA","2004.4.16","https://distroware.gitlab.io/os/Linux/s/sot",,,
"N","Rocks","#1e2e41","Red Hat","2000.11","2020.12.1",,"https://distroware.gitlab.io/os/Linux/r/rocks",,,,,,,,,
"N","ClarkConnect","#608921","Red Hat","2000.11",,,"https://distroware.gitlab.io/os/Linux/c/clearos","ClearOS","2009.10.5","https://distroware.gitlab.io/os/Linux/c/clearos",,,,,,
"N","ASPLinux","#8888dd","Red Hat","2001.3.22","2008.11.26",,"https://distroware.gitlab.io/os/Linux/a/asplinux",,,,,,,,,
"N","Aurora","#ffa51e","Red Hat","2001.11.5","2009.11.8",,"https://distroware.gitlab.io/os/Linux/a/aurora",,,,,,,,,
"#N","SuperRescue","#4ba284","Red Hat","2001.5.1","2003",,"http://www.kernel.org/pub/dist/superrescue/",,,,,,,,,
"N","Independence","#993333","Red Hat","2001.6","2008",,"https://distroware.gitlab.io/os/Linux/i/independence",,,,,,,,,
"#N","HP Secure","#0d56ce","Red Hat","2001.7.26","2002.10.15",,"http://www.hp.com/security/products/linux/",,,,,,,,,
"N","K12","#5ac8f0","Red Hat","2001.7","2017",,"https://distroware.gitlab.io/os/Linux/k/k12",,,,,,,,,
"N","EnGarde","#a54bdd","Red Hat","2001.12","2011.12.10",,"https://distroware.gitlab.io/os/Linux/e/engarde",,,,,,,,,
"#N","Haydar","#d9a020","Red Hat","2002.1.26","2003.4.6",,"http://www.haydarlinux.com/",,,,,,,,,
"N","Bayanihan","#2a5dd5","Red Hat","2002.6.20","2013.04.25",,"https://distroware.gitlab.io/os/Linux/b/bayanihan",,,,,,,,,
"N","Aurox","#6fd96a","Red Hat","2002.11.13","2006.10.30",,"https://distroware.gitlab.io/os/Linux/a/aurox",,,,,,,,,
"N","BLAG","#000","Red Hat","2002.10.22","2014.12.08",,"https://distroware.gitlab.io/os/Linux/b/blag",,,,,,,,,
"#N","LinuxInstall","#fdbf44","Red Hat","2003.1.7","2003.7.21",,"http://linuxinstall.org/",,,,,,,,,
"N","Berry","#ffc300","Red Hat","2003.4.13",,,"https://distroware.gitlab.io/os/Linux/b/berry",,,,,,,,,
"N","AnNyung","#4c4c4c","Red Hat","2003.6.14",,,"https://distroware.gitlab.io/os/Linux/a/annyung",,,,,,,,,
"N","ATmission","#a6865f","Red Hat","2003.8.23","2005.9.26",,"http://www.atconsultancy.nl/atmission/",,,,,,,,,
"N","Fedora Core","#362e94","Red Hat","2003.11.6",,,"https://distroware.gitlab.io/os/Linux/f/fedora","Fedora","2007.5.31","https://distroware.gitlab.io/os/Linux/f/fedora",,,,,,
"N","NST","#000","Fedora Core","2003.12",,,"https://distroware.gitlab.io/os/Linux/n/nst",,,,,,,,,
"N","Momonga","#832519","Fedora Core","2004.8.6","2014.03.29",,"https://distroware.gitlab.io/os/Linux/m/momonga",,,,,,,,,
"N","MythDora","#3399cc","Fedora Core","2005.6","2011.8.3",,"https://distroware.gitlab.io/os/Linux/m/mythdora",,,,,,,,,
"#N","AsianLinux","#00e3d4","Fedora Core","2005.7.2","2007.4.29",,"http://www.asianlinux.net/",,,,,,,,,
"#N","FoX","#f4a651","Fedora Core","2004.10","2006.4",,"http://distrowatch.com/table.php?distribution=fox",,,,,,,,,
"N","Ekaaty","#3f7857","Fedora Core","2006.8.15","2016.01.23",,"https://distroware.gitlab.io/os/Linux/e/ekaaty",,,,,,,,,
"N","Amahi","#99aa88","Fedora Core","2007",,,"https://distroware.gitlab.io/os/Linux/a/amahi",,,,,,,,,
"N","Vixta","#82c846","Fedora Core","2007.9.20","2018.04.5",,"https://distroware.gitlab.io/os/Linux/e/ezey","Simplis","2008.6","https://distroware.gitlab.io/os/Linux/e/ezey","Xange","2009.1.7","https://distroware.gitlab.io/os/Linux/e/ezey","eZeY","2015.01.07","https://distroware.gitlab.io/os/Linux/e/ezey"
"N","Ojuba","#437644","Fedora Core","2008.8.7",,,"https://distroware.gitlab.io/os/Linux/o/ojuba",,,,,,,,,
"N","Moblin 2","#3366bb","Fedora Core","2008.8.19","2010.5.26",,"https://distroware.gitlab.io/os/Linux/m/moblin",,,,,,,,,
"N","MeeGo","#4e2174","Moblin 2","2010.5.26","2011.10.3",,"https://distroware.gitlab.io/os/Linux/m/meego",,,,,,,,,
"N","Mer","#002bb8","MeeGo","2011.10.3",,,"https://distroware.gitlab.io/os/Linux/m/mer",,,,,,,,,
"N","Tizen","#555","MeeGo","2011.9",,,"https://distroware.gitlab.io/os/Linux/t/tizen",,,,,,,,,
"N","Sailfish OS","#32A283","Mer","2013.11.27",,,"https://distroware.gitlab.io/os/Linux/s/sailfishos",,,,,,,,,
"N","VortexBox","#d92727","Fedora Core","2008.11.28",,,"https://distroware.gitlab.io/os/Linux/v/vortexbox",,,,,,,,,
"N","Hanthana","#3366a9","Fedora Core","2009.11.17","2018.04.14",,"https://distroware.gitlab.io/os/Linux/h/hantana",,,,,,,,,
"N","Qubes OS","#666","Fedora Core","2010.4.7",,,"https://distroware.gitlab.io/os/Linux/q/qubes-os",,,,,,,,,
"N","Synergy","#1aa800","Fedora Core","2010.6.15","2013.06.26",,"https://distroware.gitlab.io/os/Linux/s/synergy",,,,,,,,,
"#N","Fusion","#0060ff","Fedora Core","2010.10.14","2012.8.18",,"http://fusionlinux.org/",,,,,,,,,
"N","Fuduntu","#4aa02c","Fedora Core","2010.11.7","2013.4.28",,"https://distroware.gitlab.io/os/Linux/f/fuduntu",,,,,,,,,
"N","Kororaa ","#706f7f","Fedora Core","2010.12.23","2018.05.2",,"https://distroware.gitlab.io/os/Linux/k/korora","Korora","2013.05.02","https://distroware.gitlab.io/os/Linux/k/korora",,,,,,
"N","Parsidora","#027ac6","Fedora Core","2010.12.28","2017.07.15",,"https://distroware.gitlab.io/os/Linux/p/parsidora",,,,,,,,,
"N","Viperr","#1e1e1e","Fedora Core","2011.12.13","2017.09.28",,"https://distroware.gitlab.io/os/Linux/v/viper",,,,,,,,,
"N","Maui OS","#5997de","Fedora Core","2013.05.29","2017.01.1",,"https://distroware.gitlab.io/os/Linux/m/maui-os","Hawaii OS","2016.06.26","https://distroware.gitlab.io/os/Linux/m/maui-os",,,,,,
"N","Chapeau","#477700","Fedora Core","2013.9","2018.02.16",,"https://distroware.gitlab.io/os/Linux/c/chapeau",,,,,,,,,
"N","SuliX","#FFAB20","Red Hat","2003.11.3",,,"https://distroware.gitlab.io/os/Linux/s/sulix",,,,,,,,,
"N","PUIAS","#b00","Red Hat","2003.12",,,"https://distroware.gitlab.io/os/Linux/s/springdale","Springdale Linux","2013.02.28","https://distroware.gitlab.io/os/Linux/s/springdale",,,,,,
"N","CentOS","#6f4376","Red Hat","2003.12.1",,,"https://distroware.gitlab.io/os/Linux/c/centos",,,,,,,,,
"N","Asterisk at Home","#599116","CentOS","2004.11.9","2012.10",,"https://distroware.gitlab.io/os/Linux/t/trixbox","trixbox","2006.6","https://distroware.gitlab.io/os/Linux/t/trixbox",,,,,,
"N","Elastix","#df1f29","CentOS","2006.12.29",,,"https://distroware.gitlab.io/os/Linux/e/elastix",,,,,,,,,
"N","BlueOnyx","#0e264c","CentOS","2008.12.31",,,"https://distroware.gitlab.io/os/Linux/b/blueonyx",,,,,,,,,
"#N","OpenNode","#004d99","CentOS","2010.2.21",,,"http://opennodecloud.com/",,,,,,,,,
"N","NethServer","#259ed5","CentOS","2015.01.28",,,"https://distroware.gitlab.io/os/Linux/n/nethserver",,,,,,,,,
"N","Baruwa","#00a8dc","CentOS","2015.8.10",,,"https://distroware.gitlab.io/os/Linux/b/baruwa",,,,,,,,,
"N","Rockstor","#e96748","CentOS","2013.11.20",,,"https://distroware.gitlab.io/os/Linux/r/rockstor",,,,,,,,,
"N","White Box","#737373","Red Hat","2003.12.17","2009.8",,"https://distroware.gitlab.io/os/Linux/w/white-box",,,,,,,,,
"N","Tao","#56c1ff","Red Hat","2004.12.4","2006.6.14",,"https://distroware.gitlab.io/os/Linux/t/tao",,,,,,,,,
"#N","BioBrew","#21896c","Red Hat","2004.1.20","2005.2.23",,"http://biobrew.bioinformatics.org/",,,,,,,,,
"N","CERN","#4078c3","Red Hat","2004.4.16",,,"https://distroware.gitlab.io/os/Linux/c/cern",,,,,,,,,
"N","Scientific","#191756","Red Hat","2004.5.10",,,"https://distroware.gitlab.io/os/Linux/s/scientific",,,,,,,,,
"N","EuroLinux","#005ba5","Red Hat","2015.7.15",,,"https://distroware.gitlab.io/os/Linux/e/eurolinux/",,,,,,,,,
"N","StartCom","#000","Red Hat","2004.8.26","2012.07.08",,"https://distroware.gitlab.io/os/Linux/s/startcom",,,,,,,,,
"N","Endian","#7cb900","Red Hat","2006.7.13",,,"https://distroware.gitlab.io/os/Linux/e/endian",,,,,,,,,
"N","Oracle Enterprise","#f00","Red Hat","2006.10.25",,,"https://distroware.gitlab.io/os/Linux/o/oracle-linux","Oracle Linux","2007.6.26","https://distroware.gitlab.io/os/Linux/o/oracle-linux",,,,,,
